Date,AAL.L,ABF.L,ADM.L,AHT.L,ANTO.L,AZN.L,BKG.L,BLND.L,BNZL.L,BRBY.L,BT-A.L,CCH.L,CCL.L,CNA.L,CPG.L,CRDA.L,CRH.L,DCC.L,DGE.L,DLG.L,EVR.L,EXPN.L,EZJ.L,FERG.L,FRES.L,GLEN.L,GSK.L,GVC.L,HLMA.L,HSBA.L,IAG.L,IHG.L,III.L,IMB.L,INF.L,ITRK.L,ITV.L,JMAT.L,KGF.L,LAND.L,LGEN.L,LLOY.L,LSE.L,MCRO.L,MKS.L,MNDI.L,MRO.L,MRW.L,NMC.L,NXT.L,OCDO.L,PPB.L,PRU.L,PSN.L,PSON.L,RBS.L,RDSA.L,REL.L,RIO.L,RMG.L,RMV.L,RSA.L,RTO.L,SBRY.L,SDR.L,SGE.L,SGRO.L,SKG.L,SLA.L,SMDS.L,SMIN.L,SMT.L,SSE.L,STAN.L,STJ.L,SVT.L,TUI.L,ULVR.L,VOD.L,WPP.L,WTB.L
2009-03-31,1112.212402,601.648499,670.78717,52.225693,483.694244,1476.325073,723.676453,267.906067,432.223297,326.850464,64.185966,NaN,1466.906982,130.535202,277.800079,457.911865,1230.318604,886.971497,608.662537,NaN,NaN,361.103333,269.044739,1155.750977,450.696991,NaN,620.78894,79.211319,146.306015,290.587067,122.866798,786.332336,3.958466,963.507996,184.697342,868.926819,25.687302,1065.692139,140.261566,415.754364,35.007965,60.76453,549.175049,378.673859,213.534164,130.966858,3.148565,168.759979,NaN,1211.256226,NaN,1110.15918,280.882355,286.455383,456.504547,409.136627,940.844849,366.766449,1556.185791,NaN,6.965652,481.443726,57.8904,212.102081,612.395447,149.015076,147.16481,179.607101,150.139221,32.434319,533.241028,3.937922,601.464905,739.057373,125.259888,667.875977,NaN,928.235657,73.764191,335.642029,736.132019
2009-04-30,1331.806763,612.542114,632.130432,42.899673,515.667358,1590.840576,654.297974,241.006592,402.278992,307.931793,59.679283,NaN,1247.066406,146.665909,306.094513,453.457977,1020.069702,954.008118,631.12262,NaN,NaN,364.914948,265.440796,979.465698,566.109192,NaN,624.995483,76.764275,134.814957,336.548767,129.18045,794.232117,2.226637,983.386719,150.212433,891.905457,31.105715,1065.692139,133.327621,359.766144,37.686531,37.814671,505.548492,469.187592,178.706787,164.977295,4.952801,165.511276,NaN,1077.90686,NaN,1398.189209,315.202209,272.600677,435.5867,373.899994,992.881409,373.636047,1570.772461,NaN,7.560411,460.526917,70.216888,199.1064,640.181152,152.630157,162.898956,328.772369,155.977249,30.45318,533.250122,4.016823,632.40686,876.670654,122.47641,713.760559,NaN,1015.038574,68.617828,330.42572,675.863831
2009-05-31,1321.688965,638.9375,649.477295,47.044571,484.42804,1653.050781,593.407227,237.585831,406.509918,340.536285,69.30719,NaN,1257.236938,132.953232,293.019226,459.528687,1013.835022,979.202026,652.459473,NaN,NaN,364.513733,229.18605,1091.64856,442.452393,NaN,640.890259,76.764275,163.337433,306.470947,103.59359,757.164185,2.234618,982.765442,138.308563,887.650085,28.095482,1017.089722,136.44371,348.309998,35.434078,38.887833,515.0802,444.556458,199.475494,157.738129,4.258423,165.194824,NaN,1116.241089,NaN,1332.025024,306.853699,262.115997,406.258789,381.534546,924.61908,339.158051,1429.463013,NaN,9.607773,441.078369,78.801384,206.603577,607.949951,144.871521,149.068451,312.536682,146.825775,27.741158,518.109497,3.763381,618.292908,796.339722,146.785873,697.190979,NaN,1024.039917,69.327583,290.134277,657.679993
2009-06-30,1446.475708,673.35144,714.051819,51.603951,624.190735,1735.068726,609.644836,270.549438,419.049042,370.323151,86.480347,NaN,1364.419189,131.31369,276.514313,497.781311,1055.594727,1007.847656,702.245605,NaN,NaN,403.536316,256.323669,1262.279419,531.368286,NaN,689.174622,83.742867,156.771103,369.442291,117.134682,825.223389,3.168369,1026.740479,151.412704,895.638916,32.309803,1275.729614,163.264343,400.041687,40.21352,47.268543,522.045959,478.981201,225.387756,201.935287,5.334482,188.245285,NaN,1295.56897,NaN,1381.241699,332.641235,337.193512,462.248535,438.940948,957.510803,317.234528,1690.229248,NaN,11.411793,464.563202,85.404846,209.573914,724.279053,158.944016,169.661133,331.207733,156.05658,31.286901,531.77301,4.222447,600.922058,992.630676,134.723602,639.854797,NaN,1136.224243,75.761261,339.930023,697.148743
2009-07-31,1514.677246,677.158264,798.03595,67.56179,632.02417,1757.97168,698.582092,306.924896,475.272797,397.367706,94.503578,NaN,1488.029907,150.183487,283.156982,522.229614,1275.268555,1322.880371,714.224365,NaN,NaN,422.732849,271.207397,1365.972412,530.517578,NaN,730.29126,89.558342,165.390808,409.90863,159.087189,930.35144,3.168369,1060.104858,179.611679,1042.182495,39.116943,1275.729614,162.458557,462.595154,48.044083,61.916206,606.024231,448.710541,221.509094,223.729034,7.452243,193.484009,NaN,1246.178101,NaN,1578.906128,398.501709,368.609985,501.241425,564.275757,1042.176147,335.035736,1638.958496,NaN,14.623493,479.241272,96.410622,214.986542,800.967346,179.523544,221.051285,450.539856,155.188416,37.9202,592.336121,5.08683,607.436096,975.162659,170.94722,646.791809,NaN,1208.136963,81.997772,382.444244,843.344604
2009-08-31,1493.692139,716.493469,863.730042,72.980644,626.252075,1758.302856,653.929016,300.723022,513.294617,413.80481,89.498962,NaN,1667.970581,150.004639,331.65152,564.971802,1184.136475,1172.384277,718.716064,NaN,NaN,430.084778,321.581726,1420.650269,660.208069,NaN,746.378174,101.189278,182.552399,440.063324,183.178711,993.838989,2.274522,1110.466064,201.998398,1093.903564,35.456501,1250.501953,163.37944,468.213898,54.782734,57.667805,644.018433,422.002167,236.046005,237.13562,8.562924,193.693527,NaN,1361.67749,NaN,1674.115234,452.053284,341.799225,522.864929,518.272339,1117.056274,355.264648,1812.123901,NaN,15.170166,493.605438,100.284668,214.52449,818.11853,189.854263,229.129776,436.739563,175.931534,46.407253,656.222839,4.801061,663.792847,1088.60144,195.429382,641.176147,NaN,1278.611572,86.566612,395.327423,979.471985
2009-09-30,1660.074341,699.998047,766.681946,68.185974,637.982971,1719.424561,629.572754,298.824524,537.56366,442.980713,90.393982,NaN,1484.11853,150.123184,336.595978,651.791138,1043.236938,1187.700684,763.124268,NaN,NaN,456.633148,305.383423,1167.068604,634.124573,NaN,758.823059,91.884514,191.722046,414.065155,151.028992,960.205811,2.274522,1133.12854,188.019073,1081.835327,34.316624,1272.123047,171.590637,500.916107,49.721313,48.397667,640.256592,405.758301,223.269165,258.937653,7.891986,196.340897,NaN,1363.957031,NaN,1754.957397,418.233734,302.107391,564.572083,410.996338,1118.604004,350.636993,1828.761841,NaN,14.404828,447.122559,91.568092,217.758881,823.358032,173.66687,220.089554,430.24527,175.127686,50.559059,659.546387,4.667166,610.598938,1059.307373,195.429382,628.623474,NaN,1315.287354,83.078537,403.793427,1025.384888
2009-11-01,1950.868652,681.387756,800.939758,57.62077,744.658081,1703.747681,641.381714,285.794464,504.800354,468.458252,96.521202,NaN,1594.430054,153.932175,373.725677,647.425049,1057.687866,1199.027588,785.34375,NaN,NaN,468.069458,311.235596,1093.533691,720.926636,NaN,763.072327,105.210205,187.936417,434.531799,162.244003,1029.31311,2.410195,1112.984131,177.950729,1003.391541,41.782001,1335.191162,183.668396,498.268158,48.99292,46.058414,566.149963,492.337738,251.560791,254.101349,9.168996,193.045135,NaN,1501.492676,NaN,1974.83667,470.09024,309.746246,562.198486,324.764435,1114.580322,344.87146,2096.998291,NaN,15.498934,430.889893,88.662567,212.478256,860.035034,173.504501,202.943878,439.986633,167.174606,48.266888,722.102661,4.796279,632.102844,1047.659058,180.361389,693.699036,NaN,1282.926758,84.652634,422.158081,1041.156494
2009-12-01,2031.811157,695.345581,897.565918,68.907295,820.322754,1825.085327,605.216431,307.995789,551.724426,492.292145,92.941246,NaN,1670.317749,169.954178,386.217896,695.703125,1199.569336,1314.104126,830.548889,NaN,NaN,502.378082,299.36261,1175.550415,677.311829,NaN,810.914978,110.280579,204.425049,438.549225,155.265762,1092.307007,2.521925,1233.851318,205.204529,1088.865723,42.022816,1379.334961,177.318985,518.320007,51.051453,42.333652,540.193176,547.215454,266.003784,257.171967,9.138615,194.517685,NaN,1597.641602,NaN,1986.241455,480.987701,351.609894,604.244751,285.80835,1182.26062,388.037262,2302.080078,NaN,14.560918,444.908325,101.781448,216.041397,995.514648,178.954407,214.852173,511.423553,173.922836,54.754032,767.517883,5.154923,657.002075,1111.898438,184.409073,717.483032,NaN,1453.080933,90.388954,453.00235,1145.028442
2010-01-01,1740.267578,760.196045,855.291992,72.556328,726.878845,1826.025879,590.455017,281.110352,510.447327,505.441864,96.293091,NaN,1779.846802,163.182617,371.557251,608.80603,1093.450317,1540.164917,808.32959,NaN,NaN,492.383911,331.927887,1309.409546,574.261414,NaN,747.61499,105.717239,196.433121,419.059357,171.299103,1101.480103,2.274522,1275.399414,211.617416,1049.822632,45.354137,1328.672241,164.387833,489.541321,48.074501,42.759579,488.460114,617.724854,230.801208,274.060974,8.503779,202.721985,NaN,1507.903564,NaN,1946.34021,434.391937,324.200073,604.583862,316.151031,1094.62793,379.31308,2104.468018,NaN,15.253607,475.528381,101.957535,216.308487,932.640137,192.538254,195.773514,535.777161,157.293777,47.142067,756.920959,4.772369,662.095154,1025.062378,188.157669,762.668213,NaN,1391.86792,84.633598,432.191803,1143.405396
