Date,0001.HK,0002.HK,0003.HK,0005.HK,0006.HK,0011.HK,0012.HK,0016.HK,0017.HK,0019.HK,0027.HK,0066.HK,0083.HK,0101.HK,0151.HK,0175.HK,0267.HK,0288.HK,0386.HK,0388.HK,0688.HK,0700.HK,0762.HK,0823.HK,0836.HK,0857.HK,0883.HK,0939.HK,0941.HK,1038.HK,1044.HK,1088.HK,1093.HK,1109.HK,1113.HK,1177.HK,1299.HK,1398.HK,1928.HK,1997.HK,2003.HK,2018.HK,2313.HK,2318.HK,2319.HK,2382.HK,2388.HK,2628.HK,3328.HK,3988.HK
2009-03-31,39.062656,34.340206,4.467821,35.295654,30.778023,55.59449,14.761191,58.762272,5.919031,42.997334,1.87,14.913992,6.184294,16.323771,3.475616,0.948944,8.743911,NaN,2.898367,68.002716,10.617261,12.641003,7.632427,9.763927,12.007929,5.124278,5.865393,2.820964,46.687328,21.161716,24.206642,14.646207,3.105418,11.198774,NaN,0.217135,NaN,2.729646,NaN,NaN,NaN,3.424889,1.899746,20.443045,6.220466,0.596341,7.35034,23.411417,3.506087,1.587361
2009-04-30,46.371819,34.780106,4.825245,44.159847,28.022783,71.258514,19.219368,70.223648,8.539264,54.762424,2.43,18.931013,9.003033,19.396046,3.416333,1.355634,13.628861,NaN,2.96511,91.698853,12.681746,15.828734,8.174526,9.802592,11.335505,6.640646,6.884584,3.145505,52.514565,20.175814,26.332672,17.339756,3.520539,14.357403,NaN,0.286929,NaN,2.986702,NaN,NaN,NaN,5.177914,2.309495,22.655949,7.330304,0.775243,8.201014,24.393126,3.967263,1.904834
2009-05-31,44.555496,34.2799,5.217592,42.372147,29.94754,70.745872,18.254303,70.441963,8.200038,56.490158,2.04,17.928558,8.038868,18.98888,3.927439,1.28021,12.265975,NaN,2.817327,92.619675,14.039949,16.856211,9.019583,10.666814,12.105723,6.543046,6.618867,3.750889,54.883884,19.697683,27.402571,19.640631,3.3334,13.784142,NaN,0.281672,NaN,3.424954,NaN,NaN,NaN,5.11597,2.762041,22.107996,8.08213,0.777898,9.025104,24.608992,4.91101,2.01978
2009-06-30,50.056175,35.500561,5.550491,49.762253,29.70435,81.714691,21.026327,85.79657,10.820356,62.883251,2.36,21.668495,9.904595,21.024723,4.14264,1.728284,16.921225,NaN,3.392884,112.187187,14.913566,19.493196,10.004807,11.646249,14.078871,7.007146,7.176753,3.960521,57.57151,20.458073,34.045593,21.773239,3.692639,15.196255,NaN,0.334193,NaN,3.539121,NaN,NaN,NaN,6.202181,4.867208,28.999617,8.305888,0.795379,10.978992,29.660313,5.391374,2.191865
2009-07-31,45.980648,34.961643,5.371242,53.053928,30.08651,71.459816,18.706028,76.336395,9.147536,58.404469,2.29,20.087694,8.289342,17.878416,3.694302,1.709995,15.849294,NaN,3.154013,103.59285,12.292788,21.48724,9.754238,11.288937,13.285398,6.512612,7.011455,3.707043,53.327915,20.421864,32.384842,21.498066,3.533906,13.013899,NaN,0.325507,NaN,3.355188,NaN,NaN,NaN,5.323262,5.658624,24.447351,8.216386,0.795379,10.327693,28.23558,5.165319,2.140755
2009-08-31,49.181049,35.433186,6.267512,58.079365,29.53063,73.18515,20.944193,83.104042,9.755878,65.808884,3.42,20.851065,8.690023,21.135763,4.08884,1.929459,15.581313,NaN,3.212513,109.185562,13.07279,23.499922,9.82583,11.394794,12.653431,6.664776,7.176753,3.922496,53.46936,20.059771,35.366638,23.286705,3.642512,13.623672,NaN,0.388442,NaN,3.704028,NaN,NaN,NaN,7.023057,6.157215,26.050528,8.878709,0.769158,11.297994,29.142229,5.334864,2.31679
2009-09-30,50.507038,35.446796,6.005032,56.335052,29.320314,73.054146,22.915424,87.106445,9.954684,69.830681,3.35,21.509926,9.428781,22.135181,4.121772,2.596997,15.611429,NaN,3.335895,108.641571,13.37495,25.549879,9.092024,11.77856,11.497077,7.405016,8.434367,4.315379,53.233395,20.324903,38.3694,24.559389,3.67593,15.340671,NaN,0.600822,NaN,3.989437,NaN,NaN,NaN,8.21062,6.592494,29.481577,9.845341,0.80412,12.33229,31.559954,5.426531,2.600707
2009-10-31,49.046703,35.75296,5.976614,58.596214,29.672726,74.298996,22.463629,83.613449,9.323042,64.702499,3.36,20.424742,9.426083,21.316107,4.867102,3.584588,15.804162,NaN,3.192361,107.398178,13.046014,26.705305,9.324696,12.943209,11.130751,7.405016,8.37823,4.372413,52.226265,21.057335,42.492691,26.072853,3.67593,14.468843,NaN,0.755439,NaN,4.154344,6.431127,NaN,NaN,9.046731,7.241455,30.625252,10.673244,0.917745,12.021278,33.502766,5.283578,2.481462
2009-11-30,50.507038,35.684929,6.333905,57.804268,29.74321,75.86647,24.220636,85.890999,9.341793,68.375893,3.22,20.851065,9.720663,23.048512,4.885063,3.90464,16.112537,NaN,3.429931,108.330734,12.842439,31.494738,9.199409,13.062292,10.877138,7.189037,8.588739,4.226665,52.406113,21.64327,44.287041,26.141647,3.600741,14.22743,NaN,0.836423,NaN,4.084577,6.534741,NaN,NaN,10.785846,8.119926,28.803835,12.485682,1.00515,11.96719,33.114201,5.169215,2.384925
2009-12-31,46.352695,36.074909,5.515373,54.054111,30.624228,72.162422,20.384314,74.074524,7.492145,61.72015,2.95,19.572094,8.24784,19.960312,4.471988,3.154803,12.766681,NaN,3.02408,102.813171,10.900417,27.059389,7.866035,12.760942,10.623523,6.787933,7.746706,3.789421,53.053555,21.203819,39.705627,22.977135,3.316691,11.330441,NaN,0.762816,NaN,3.615229,7.584723,NaN,NaN,10.735682,7.787532,25.754019,10.740373,1.22366,11.020633,29.919353,4.511629,2.129403
2010-01-31,47.687126,36.865116,5.677783,55.508919,30.624228,75.072754,21.752975,79.613503,8.335014,63.029488,2.98,20.851065,9.426083,22.332958,4.570766,3.566299,13.352587,NaN,3.014184,100.94809,12.325611,28.363903,8.331373,13.24969,10.863047,6.687656,8.588739,3.719722,55.103752,21.386927,40.736477,22.977135,3.467071,13.004256,NaN,0.846458,NaN,3.482038,7.736692,NaN,NaN,10.133678,8.262381,25.076281,10.359983,1.284843,11.831967,29.746658,4.883309,2.140755
2010-02-28,50.355988,38.136318,6.288434,51.144497,32.456749,71.567154,22.686083,86.260262,8.896904,67.93943,3.58,22.788895,9.7463,23.720041,4.947922,3.758331,14.30855,NaN,3.147817,100.714935,13.735191,29.034801,7.82129,12.991751,11.70842,7.003912,8.967653,4.030227,53.736958,22.009491,44.210682,23.080324,4.010106,13.583655,NaN,1.02044,NaN,3.754769,8.510361,NaN,NaN,10.852733,8.863858,28.337898,10.829875,1.547056,12.521602,32.121216,5.289299,2.350858
2010-03-31,48.870495,37.449169,6.171496,52.405685,32.351028,71.99366,20.67461,81.620483,8.229674,63.975105,3.7,21.605225,9.159752,21.59812,5.307117,3.090793,13.275495,NaN,3.113168,100.481804,12.043741,30.451132,8.787765,12.991751,11.215287,7.019339,9.71145,4.068244,55.57135,21.350306,45.966885,23.389896,4.787064,11.652329,NaN,1.157613,NaN,3.659628,8.85575,NaN,NaN,10.785846,8.151583,28.740307,10.583742,1.564537,12.778523,30.869175,5.163493,2.31679
2010-04-30,44.665768,38.299831,6.145515,46.093704,33.681004,69.706009,19.659595,76.412262,7.394661,62.520294,3.46,20.898144,8.256701,20.764505,5.527853,2.496409,10.962692,NaN,3.063677,94.358421,12.02805,27.991188,8.537197,12.733811,10.975763,6.579667,8.743111,3.992203,53.017582,21.230427,43.294426,21.601255,3.834663,11.84546,NaN,1.09739,NaN,3.659628,7.971557,NaN,NaN,9.230678,6.956545,26.537653,10.38236,1.477133,11.886056,30.212881,4.783673,2.285612
2010-05-31,47.100262,39.417046,7.08732,47.083309,33.753666,71.105766,19.51111,79.909218,7.59678,66.446609,4.24,20.937426,9.056514,22.848534,5.941993,2.210997,11.422345,NaN,3.142869,96.725266,11.495537,24.617397,9.593313,13.495175,12.770161,6.876991,9.53378,4.017548,57.360249,21.833776,49.06958,19.94285,4.105382,12.065998,NaN,1.023783,NaN,3.740636,8.082081,NaN,NaN,9.489531,7.358351,27.542671,11.411644,1.353594,12.470259,30.521183,5.059532,2.441176
2010-06-30,48.845676,40.426311,7.109307,51.684708,34.189678,73.145119,20.507864,84.894241,8.250645,70.478195,5.17,21.448095,9.482248,24.553652,5.473836,2.671622,12.519139,NaN,3.185125,100.748932,13.116484,28.239267,9.556907,14.395059,12.194928,6.900514,9.334271,4.312011,57.616974,21.946903,51.733471,20.922501,3.809027,13.435651,NaN,1.017666,NaN,3.884511,8.289312,NaN,NaN,11.692455,8.437796,27.542671,10.942536,1.415524,13.922565,30.345009,5.260936,2.521108
2010-07-31,51.007931,41.977104,6.874777,49.124783,34.334999,72.533325,20.189793,81.099678,7.418482,69.992905,6.0,21.840916,8.759845,26.334545,5.662899,2.349184,12.456466,NaN,3.134246,96.173004,13.116484,26.843336,9.757146,16.176628,12.338738,6.618219,9.576536,4.200779,58.057068,22.587965,53.239166,19.837889,3.486524,12.131219,NaN,0.907643,NaN,3.694864,8.344575,NaN,NaN,12.065258,7.383072,27.542671,9.741803,1.388982,14.278658,26.161011,5.035121,2.404278
2010-08-31,61.272003,43.668877,7.197256,51.704109,34.716434,78.357422,23.434555,99.700516,9.296833,79.810593,6.94,23.174747,10.359545,28.721704,6.482173,3.546808,13.866634,NaN,3.50059,122.403801,12.974236,31.993185,10.339662,16.390413,11.993599,7.080868,10.716597,4.449422,58.27713,23.488256,59.725159,22.461946,3.49524,12.864961,NaN,1.076109,NaN,3.779876,9.670863,NaN,NaN,14.335969,7.811553,33.898678,10.874571,1.450911,17.176279,26.997812,5.120564,2.502666
