Date,AAV.TO,ABX.TO,AC.TO,ACB.TO,ACO-X.TO,AD.TO,AEM.TO,AGI.TO,AIF.TO,ALA.TO,AP-UN.TO,AQN.TO,ARE.TO,ARX.TO,ASR.TO,ATA.TO,ATD-B.TO,AX-UN.TO,BAD.TO,BAM-A.TO,BB.TO,BBD-B.TO,BBU-UN.TO,BCB.TO,BCE.TO,BEI-UN.TO,BEP-UN.TO,BIP-UN.TO,BIR.TO,BLX.TO,BMO.TO,BNS.TO,BPY-UN.TO,BTE.TO,BTO.TO,BYD-UN.TO,CAE.TO,CAR-UN.TO,CAS.TO,CCA.TO,CCL-B.TO,CCO.TO,CEU.TO,CFP.TO,CG.TO,CGX.TO,CHE-UN.TO,CHP-UN.TO,CHR.TO,CIGI.TO,CIX.TO,CJR-B.TO,CLS.TO,CM.TO,CMG.TO,CNQ.TO,CNR.TO,CP.TO,CPG.TO,CPX.TO,CRR-UN.TO,CSH-UN.TO,CSU.TO,CTC-A.TO,CU.TO,CUF-UN.TO,CVE.TO,CWB.TO,D-UN.TO,DGC.TO,DII-B.TO,DOL.TO,DOO.TO,DRG-UN.TO,DSG.TO,ECA.TO,ECN.TO,EDV.TO,EFN.TO,EFX.TO,EIF.TO,ELD.TO,EMA.TO,EMP-A.TO,ENB.TO,ENGH.TO,ERF.TO,ESI.TO,EXE.TO,FCR.TO,FFH.TO,FM.TO,FNV.TO,FR.TO,FRU.TO,FSV.TO,FTS.TO,FTT.TO,FVI.TO,G.TO,GC.TO,GEI.TO,GIB-A.TO,GIL.TO,GOOS.TO,GRT-UN.TO,GTE.TO,GUD.TO,GUY.TO,GWO.TO,H.TO,HBC.TO,HBM.TO,HCG.TO,HR-UN.TO,HSE.TO,IAG.TO,IFC.TO,IFP.TO,IGM.TO,IMG.TO,IMO.TO,INE.TO,IPL.TO,ITP.TO,IVN.TO,K.TO,KEL.TO,KEY.TO,KL.TO,KML.TO,KMP-UN.TO,KXS.TO,L.TO,LB.TO,LIF.TO,LNR.TO,LUC.TO,LUN.TO,MAG.TO,MAXR.TO,MEG.TO,MFC.TO,MFI.TO,MG.TO,MIC.TO,MRE.TO,MRU.TO,MSI.TO,MTL.TO,MX.TO,NA.TO,NFI.TO,NG.TO,NGD.TO,NPI.TO,NSU.TO,NTR.TO,NVA.TO,NVU-UN.TO,NWC.TO,NXE.TO,OGC.TO,ONEX.TO,OR.TO,OSB.TO,OTEX.TO,PAAS.TO,PBH.TO,PD.TO,PEY.TO,PKI.TO,POU.TO,POW.TO,PPL.TO,PSI.TO,PSK.TO,PVG.TO,PWF.TO,PXT.TO,QBR-B.TO,QSR.TO,RBA.TO,RCI-B.TO,REI-UN.TO,RNW.TO,RUS.TO,RY.TO,SAP.TO,SCL.TO,SES.TO,SHOP.TO,SIA.TO,SJ.TO,SJR-B.TO,SLF.TO,SMF.TO,SNC.TO,SPB.TO,SRU-UN.TO,SSL.TO,SSRM.TO,STN.TO,SU.TO,SW.TO,T.TO,TA.TO,TCL-A.TO,TCN.TO,TCW.TO,TD.TO,TECK-B.TO,TFII.TO,THO.TO,TIH.TO,TOG.TO,TOU.TO,TOY.TO,TRI.TO,TRP.TO,TRQ.TO,TSGI.TO,TXG.TO,UNS.TO,VET.TO,VII.TO,WCN.TO,WCP.TO,WEED.TO,WEF.TO,WFT.TO,WJA.TO,WN.TO,WPK.TO,WPM.TO,WSP.TO,WTE.TO,X.TO,YRI.TO,ZZZ.TO
2009-04-01,NaN,30.354773,0.83,NaN,12.475735,NaN,47.431694,7.21745,4.097431,7.662977,8.019461,1.953332,8.657989,9.517748,2.347284,4.1,4.284665,2.682822,1.725383,9.393115,82.43,3.27151,NaN,2.093764,15.216168,18.517141,9.107773,NaN,5.213203,5.193118,24.680799,21.929003,NaN,11.16836,0.68,2.415147,6.41651,7.408678,2.893467,23.659094,2.369773,22.907595,0.086747,5.13,5.784225,NaN,2.307253,NaN,NaN,6.663045,10.230505,8.426486,7.18,32.829826,1.27004,22.365265,18.781723,37.74815,15.101986,NaN,3.483119,2.356788,27.649248,42.239433,10.85401,6.077739,NaN,10.246379,6.345618,11.56,17.022213,NaN,NaN,NaN,3.88,23.270504,NaN,14.299999,NaN,NaN,4.518183,9.077598,12.7277,11.610604,11.5255,2.296439,12.865848,8.749483,NaN,5.777819,253.922394,8.218181,22.478724,1.79,5.594455,NaN,14.905862,10.755664,0.84,29.171713,3.77,NaN,10.58,6.049556,NaN,5.140989,2.93,NaN,2.75,13.019121,NaN,NaN,7.496118,10.77671,5.318434,20.8428,17.910585,26.216593,2.5,20.650425,8.846308,37.566429,1.513927,4.291794,0.526346,NaN,17.661522,NaN,3.481907,0.08355,NaN,NaN,NaN,20.131729,17.839231,7.563696,3.869869,0.422182,2.091606,5.94,25.930037,NaN,14.064938,7.331426,7.725404,NaN,3.913138,8.74317,4.769212,7.915671,10.964931,11.647676,NaN,3.25,2.15,5.09629,1.148868,NaN,7.760889,9.261621,9.878182,NaN,0.724577,18.60125,NaN,9.009472,8.43322,17.270065,5.533207,5.216372,5.133744,4.62015,5.307609,14.316356,7.276075,7.398876,NaN,NaN,14.461398,NaN,3.316071,NaN,21.64072,20.270802,7.865812,NaN,5.254324,28.398952,8.294305,18.314964,NaN,NaN,NaN,3.505842,11.690068,17.589195,1.782633,28.678627,4.901995,5.989687,2.6,20.01,11.349811,23.889809,6.76,NaN,11.988687,4.756104,NaN,8.300256,13.583929,10.450832,3.379225,NaN,12.223531,14.381524,NaN,NaN,25.469057,18.997929,7.66,NaN,NaN,10.096778,15.355459,NaN,13.363984,1.479772,NaN,0.14463,12.101258,9.73859,48.010674,6.063658,8.293653,NaN,6.294406,22.670616,8.376771,NaN
2009-05-01,NaN,36.346661,1.36,NaN,13.00963,NaN,60.685585,9.080018,4.843512,8.517283,9.246532,1.86481,9.001258,10.748866,2.977489,4.42,4.275101,3.643067,1.915638,9.892337,85.529999,3.189743,NaN,5.583369,14.882136,21.33709,9.227587,NaN,5.501371,5.848479,27.856173,25.04542,NaN,13.328063,0.84,2.557444,6.078798,7.800205,3.64656,21.925938,2.247216,25.089666,0.120462,5.61,6.3496,NaN,3.152038,NaN,NaN,7.984359,11.729245,8.428563,7.15,33.436527,1.705146,26.308975,18.295052,39.251007,17.248924,NaN,4.052284,2.921212,27.957993,40.655388,11.130866,6.942169,NaN,11.052274,7.223114,13.57,16.909981,NaN,NaN,NaN,4.3,25.529909,NaN,17.4,NaN,NaN,4.649628,10.360718,12.826031,11.202023,12.104125,2.717453,14.64742,10.569378,NaN,6.33844,226.912994,8.661588,26.869999,2.72,6.409189,NaN,16.150824,11.201924,1.01,38.604294,5.25,NaN,10.15,8.015881,NaN,6.102809,3.3,NaN,4.35,14.169175,NaN,NaN,7.505476,12.706572,5.888113,24.159187,19.632755,26.239342,2.57,22.119232,11.422991,39.090218,1.872444,4.732304,1.086111,NaN,21.042084,NaN,4.139615,0.125325,NaN,NaN,NaN,22.49243,19.660315,8.053935,6.947763,0.379964,2.534988,6.21,23.253387,NaN,16.266043,7.331426,6.825962,NaN,4.537375,9.071634,4.9252,8.847703,10.422275,13.654328,NaN,5.65,3.29,5.148318,1.254046,NaN,10.400181,8.932289,9.58818,NaN,1.105933,20.556435,NaN,11.08858,8.28301,22.470411,5.181037,5.878769,6.245417,5.055721,6.7211,16.324884,7.649049,6.85216,NaN,NaN,15.862256,NaN,4.11925,NaN,20.350332,22.414024,8.560203,NaN,6.024066,29.695776,8.218209,17.180782,NaN,NaN,NaN,4.613346,11.986104,18.099848,2.422056,32.326378,5.414034,7.678649,2.0,25.879999,12.331461,30.42907,7.08,NaN,11.673506,5.262762,NaN,8.751847,16.498528,14.304214,4.336303,NaN,11.351849,14.533712,NaN,NaN,25.339809,20.656588,5.9,NaN,NaN,10.187737,18.498413,NaN,15.806134,1.775726,NaN,0.20891,13.048708,9.998843,50.053337,5.30137,10.414654,NaN,7.025169,23.122757,11.491212,NaN
2009-06-01,NaN,34.564049,1.42,NaN,14.291712,NaN,55.092686,8.903076,4.523132,8.53014,9.283605,2.198936,8.802921,11.087134,2.603019,4.37,4.370741,3.580076,1.724911,10.344624,82.68,3.025973,NaN,5.714229,14.315479,22.373074,9.420411,NaN,5.283062,6.636571,31.17601,28.482775,NaN,13.439684,0.74,2.637184,5.825515,8.256726,3.699764,22.997873,2.365653,24.947538,0.148594,5.0,4.609982,NaN,3.437314,NaN,NaN,7.622982,12.544183,7.92136,7.88,35.734684,1.758064,24.877859,19.45528,41.001404,18.714369,NaN,4.167589,3.088101,28.301037,46.19931,12.180076,7.212672,NaN,13.001773,7.357309,10.34,20.224005,NaN,NaN,NaN,4.45,24.538488,NaN,14.0,NaN,NaN,4.8535,10.035149,14.176484,9.958923,12.87702,2.3155,14.422006,10.817546,NaN,6.353695,234.934586,10.016742,24.754042,2.38,6.726374,NaN,17.297365,12.801111,0.91,36.185322,4.62,NaN,10.34,7.630589,NaN,6.206131,4.05,NaN,3.71,14.679693,NaN,NaN,7.187289,11.926845,6.315708,23.666899,19.476158,25.82971,2.35,23.889938,10.957886,39.742001,2.05132,4.760345,0.877243,NaN,20.360209,NaN,4.648727,0.187987,NaN,NaN,NaN,21.7598,21.729174,8.894346,9.757342,0.379964,3.228977,5.3,22.165997,NaN,14.145225,7.610057,9.305556,NaN,6.009459,9.086436,4.919182,8.224157,11.260205,14.342783,NaN,4.98,3.08,5.34459,1.116506,NaN,10.056779,9.969354,9.092758,NaN,0.981992,19.347233,NaN,9.355989,9.119892,18.947884,5.778711,5.142772,5.433345,4.933449,5.616518,17.223267,8.188671,6.830291,NaN,NaN,17.032673,NaN,4.306827,NaN,22.507813,20.868858,8.926626,NaN,6.407315,32.3256,9.23407,16.971336,NaN,NaN,NaN,4.337004,12.462551,20.062038,2.044215,35.499973,4.849257,7.378646,2.35,22.17,12.157719,28.137936,6.64,NaN,13.208745,6.057268,NaN,9.0499,17.830873,15.471904,4.343666,NaN,11.879841,12.327022,NaN,NaN,25.924086,19.98037,6.45,NaN,NaN,8.983403,16.841143,NaN,18.180447,1.479772,NaN,0.200875,10.525176,8.647195,47.289246,5.821112,8.755925,NaN,7.08658,24.193243,9.253827,NaN
2009-07-01,NaN,33.213268,1.87,NaN,14.176257,NaN,56.819115,9.024141,5.321494,8.781598,9.855333,2.496744,7.729067,10.963829,2.466018,4.65,5.196428,3.642979,1.979809,11.763701,81.82,3.350498,NaN,5.21696,14.981626,22.719034,10.195232,NaN,5.457709,7.673536,34.355927,30.122734,NaN,15.185746,0.73,3.163763,6.062455,8.231397,4.23515,23.265858,2.460327,24.796888,0.175334,5.51,5.958186,NaN,3.615755,NaN,NaN,9.000759,10.139496,7.893494,8.6,41.280563,2.065145,26.416361,20.61409,42.587151,19.217493,NaN,4.73867,3.465403,28.301037,45.426525,11.746794,8.012017,NaN,14.049941,8.112143,9.89,18.809532,NaN,NaN,NaN,4.43,24.744211,NaN,15.499999,NaN,NaN,5.513129,10.370295,13.537142,9.728173,13.301362,2.416006,13.572936,10.451246,NaN,6.768265,263.899048,12.776912,23.924541,2.38,7.310155,NaN,17.331408,12.679201,0.95,36.646389,5.97,NaN,10.95,7.953879,NaN,6.206131,4.02,NaN,3.83,16.675615,NaN,NaN,7.468041,13.462612,7.36492,23.063042,22.388123,27.048714,2.84,26.455547,10.623009,38.089134,2.320666,5.218088,1.077757,NaN,20.40823,NaN,4.52373,0.1671,NaN,NaN,NaN,21.574345,22.354723,10.807926,10.290379,0.379964,3.200061,5.25,26.055506,NaN,18.327837,8.004764,10.276655,NaN,5.590195,8.065951,5.300404,8.532648,14.466919,15.867367,NaN,4.44,3.21,5.825923,1.456312,NaN,9.674129,10.36798,9.659562,NaN,0.915255,20.459696,NaN,7.276883,8.761536,18.499878,6.083969,5.62117,5.295703,5.876235,6.730461,19.623926,8.394864,6.928006,NaN,NaN,19.502182,NaN,4.130639,NaN,21.271128,20.889799,9.137603,NaN,7.105058,34.846684,8.956323,17.241125,NaN,NaN,NaN,4.596074,12.080768,23.524982,2.208915,37.662266,5.169709,8.197153,2.35,21.280001,11.76245,27.751001,7.76,NaN,12.705497,5.710945,NaN,8.713872,18.727016,23.645737,5.241148,NaN,10.800209,11.147584,NaN,NaN,26.643993,19.786785,8.7,NaN,NaN,9.42157,17.235382,NaN,19.659304,0.887863,NaN,0.17677,11.951266,8.731147,47.871693,6.754419,9.000656,NaN,7.776863,24.772348,9.199682,NaN
2009-08-01,NaN,33.354527,1.69,NaN,15.745255,NaN,56.459431,8.996202,6.249942,9.289706,11.107719,2.418688,8.426142,10.945803,2.137216,4.42,5.980676,4.141826,1.891854,11.72311,80.349998,3.532176,NaN,6.124258,16.296228,25.347498,10.658259,NaN,5.850664,7.557395,33.707237,30.428268,NaN,16.526731,0.7,3.198853,7.478439,8.338944,5.689487,22.124632,2.347331,24.403154,0.194584,5.46,5.610262,NaN,4.088561,NaN,NaN,9.825169,13.350117,8.03952,9.31,39.998127,1.971163,25.580141,20.82263,46.605812,20.285374,11.674399,4.711365,3.789805,30.016241,48.152287,12.022808,8.55907,NaN,14.289387,9.599298,10.2,22.676777,NaN,NaN,NaN,4.9,24.435881,NaN,14.0,NaN,NaN,5.915496,10.820344,13.695604,9.999718,13.049308,2.419871,13.346637,10.272156,NaN,7.527728,299.445068,11.544629,25.054066,2.23,7.901781,NaN,16.957005,12.282976,1.17,35.729034,7.02,NaN,11.32,9.98664,NaN,9.643266,4.37,NaN,4.5,16.714245,NaN,NaN,7.898531,15.223411,7.927671,21.447905,22.312489,26.015146,2.76,24.050503,11.832286,34.752472,2.895521,5.141452,1.495491,NaN,19.956848,NaN,4.76843,0.292425,NaN,NaN,NaN,20.97505,23.611601,10.361381,11.473914,0.481287,3.58561,4.95,25.51181,NaN,15.784641,8.039755,9.352697,NaN,6.6896,8.828328,5.150692,9.412166,15.796751,16.779383,NaN,4.27,3.72,5.814096,1.480583,NaN,9.683942,11.391957,9.912624,NaN,0.810382,22.183708,NaN,10.464848,8.274427,18.816116,6.054576,5.749969,5.884513,5.694216,9.519998,18.942545,8.669053,7.710083,NaN,NaN,18.747061,NaN,5.368308,NaN,22.672714,21.03636,9.997503,NaN,6.964659,38.750511,10.616446,21.330097,NaN,NaN,NaN,4.411846,12.050996,20.700954,2.131409,38.391331,5.651388,9.59721,2.35,20.0,12.301057,26.675684,9.1,NaN,12.622607,6.509506,NaN,9.204029,20.49929,22.035997,5.855111,NaN,11.201148,11.604136,NaN,NaN,26.751211,21.052521,12.12,NaN,NaN,9.924789,17.009512,NaN,20.052761,1.183817,NaN,0.20891,11.478615,10.208728,46.526302,7.032953,10.314952,NaN,8.154683,25.272791,9.020527,NaN
2009-09-01,NaN,35.791233,1.86,NaN,15.469026,NaN,65.109535,8.772696,6.564722,9.702701,10.626684,2.268471,9.015969,12.794566,2.22855,5.75,6.26441,4.230133,1.986709,12.794161,72.379997,4.388729,NaN,6.839627,15.987265,26.736301,10.606573,6.558743,7.204176,7.466145,34.899174,32.425415,NaN,16.461794,0.77,3.224767,7.673457,9.31056,6.272819,24.726088,2.366518,24.889036,0.232002,6.08,6.340901,NaN,4.046297,NaN,NaN,11.383648,13.609172,9.817962,10.2,40.645569,1.934065,29.492016,20.747868,44.54314,20.134361,10.654781,5.410696,3.907194,30.865274,48.708874,12.397037,9.289894,NaN,15.332128,9.7694,13.23,22.227856,NaN,NaN,NaN,5.9,26.551418,NaN,16.699999,NaN,NaN,5.944009,11.643838,14.032378,10.429195,13.505772,2.689645,14.37588,10.38729,NaN,7.574949,320.001892,12.53349,24.982908,2.68,8.054729,NaN,17.178106,12.274318,1.5,38.512039,8.14,NaN,12.54,9.371052,NaN,9.747706,4.49,NaN,4.24,17.298664,NaN,NaN,12.072399,15.231581,8.133575,22.138584,22.35565,25.938581,3.13,24.967823,14.074095,35.970619,2.859565,5.414169,2.38109,NaN,22.405834,NaN,4.839715,0.313312,NaN,NaN,NaN,19.934183,23.993029,10.423955,12.904397,0.675491,3.479584,6.23,26.298075,NaN,15.855229,8.310954,8.604107,NaN,6.717553,8.459775,5.160399,10.350759,15.031088,16.257837,NaN,5.5,4.09,5.892905,1.771846,NaN,12.254552,11.123601,10.758221,NaN,0.95339,25.419233,NaN,12.266743,8.607036,21.591969,6.236803,6.587165,6.438393,5.441092,13.517086,19.000954,8.70907,9.185696,NaN,NaN,19.252554,NaN,5.360639,NaN,21.928633,21.099182,10.752398,NaN,7.372416,39.505611,9.676871,24.485929,NaN,NaN,NaN,4.164293,12.476836,21.676338,2.751456,40.18029,5.627509,11.215939,2.35,23.08,11.640831,29.790104,10.69,NaN,13.104967,8.441802,NaN,12.616961,20.974827,24.604914,6.326812,NaN,11.526909,15.446829,NaN,NaN,27.692566,21.549774,13.76,NaN,NaN,9.733788,17.374844,NaN,18.831682,1.405783,NaN,0.20891,12.266364,9.276844,45.449986,7.746695,12.318118,NaN,7.76427,25.969416,10.319409,NaN
2009-10-01,6.76,34.39629,1.03,NaN,15.8081,3.704116,51.792709,8.046293,7.455667,9.993671,10.897929,2.353833,8.624598,12.423534,1.954548,6.25,6.069945,4.481309,2.050511,11.990915,63.82,3.876563,NaN,7.467756,15.920723,25.759527,11.068711,5.810215,6.392068,7.383185,32.251297,30.02354,NaN,18.577923,0.75,3.179075,7.171667,8.562805,5.625836,25.264322,2.478698,25.315863,0.265178,6.05,7.219408,NaN,4.602385,NaN,NaN,10.926271,12.648732,9.617769,8.92,39.103359,2.016656,28.735403,20.774746,41.896229,20.511652,10.61708,5.555859,3.544924,30.659452,46.119946,12.606433,8.643402,NaN,16.611401,9.757218,13.35,21.933207,2.609736,NaN,NaN,5.61,25.869312,NaN,18.799999,NaN,NaN,5.919711,11.548083,14.547451,10.257403,13.674719,2.654513,13.957981,9.97475,NaN,7.95827,311.42511,13.253271,23.924541,3.14,7.421615,NaN,17.398157,12.243632,1.65,35.656479,7.52,NaN,13.22,8.441033,NaN,9.747706,5.18,NaN,5.59,15.435931,NaN,NaN,13.111186,14.534711,7.706685,20.933964,21.188673,25.407455,3.0,22.929827,13.348529,36.018093,2.99653,5.684769,1.570684,NaN,19.345154,NaN,4.939184,0.396863,NaN,NaN,NaN,18.987083,24.93466,11.111329,13.674134,0.886582,4.192851,5.69,30.865103,NaN,14.304942,9.850179,8.053504,14.9575,6.6896,8.159972,5.119321,10.360944,15.152007,15.714872,NaN,4.63,3.92,6.034378,2.330099,NaN,11.273403,11.147083,10.682246,NaN,1.086865,23.646477,NaN,10.319308,8.669266,20.107418,6.628188,6.458365,7.225173,6.223122,12.618443,16.720022,8.908544,8.374111,NaN,NaN,17.189583,NaN,4.847596,NaN,19.719227,22.37479,11.025944,NaN,6.832235,37.617863,10.109355,23.809526,NaN,NaN,NaN,4.28308,12.439265,19.337488,3.177738,36.357567,5.984731,10.50856,2.1,20.280001,11.358499,28.697424,9.73,NaN,12.114897,8.900894,NaN,11.49142,18.681984,26.197973,5.588385,NaN,12.490713,14.914173,NaN,NaN,26.550919,21.658154,11.66,NaN,NaN,9.965494,17.219028,NaN,18.858818,1.775726,NaN,0.1607,11.775215,9.184495,45.256992,6.641266,12.327182,NaN,8.216782,20.972235,10.292979,NaN
2009-11-01,6.04,39.605179,1.26,NaN,16.646971,4.623541,59.165958,10.998464,7.753497,10.207571,11.400135,2.241466,10.748051,12.958301,2.20115,6.75,6.685225,4.664584,2.201491,11.731081,60.970001,3.97616,NaN,7.851611,17.169044,25.872086,11.613184,6.014035,6.523054,6.819078,34.628593,32.511608,NaN,19.132032,1.22,3.58053,7.231219,8.248168,6.992108,27.52327,3.056985,25.450174,0.318167,7.26,11.307506,NaN,4.684165,NaN,NaN,10.965796,12.82033,9.714853,8.58,43.347961,1.944076,28.837704,21.966406,45.531998,22.259247,11.340598,5.376746,3.745009,30.059135,46.729561,13.463653,8.851695,20.969109,17.80015,9.810673,16.379999,24.630463,2.744955,NaN,NaN,5.2,24.390446,NaN,18.0,NaN,NaN,6.248861,13.453612,15.867893,10.758087,14.623401,2.849696,14.390484,9.280628,NaN,8.144286,302.598969,14.741175,25.276411,3.66,7.609869,NaN,17.955177,11.568543,2.05,39.515156,7.2,NaN,13.05,9.012334,NaN,10.44397,6.01,NaN,7.15,15.774617,NaN,NaN,13.672693,16.187286,7.824807,20.346342,22.630236,28.801819,4.69,24.196766,18.501898,35.885349,2.984544,5.979538,2.063611,NaN,20.230602,NaN,5.774321,2.778038,NaN,NaN,NaN,21.034588,26.953144,11.096918,12.786674,0.945687,4.433819,6.26,33.884708,NaN,12.994246,10.034706,9.484693,16.188572,7.546764,8.88723,5.56066,10.274883,15.249448,17.607121,NaN,5.91,3.7,6.273076,2.791264,NaN,11.057551,11.695618,10.883558,NaN,1.725637,22.575274,NaN,8.697605,8.555532,23.155598,7.329071,6.430766,7.244453,7.017357,12.365701,17.251125,9.635747,8.108496,NaN,NaN,17.366344,NaN,5.726784,NaN,20.637739,22.37479,11.073711,NaN,7.031018,39.348274,11.409518,23.513596,NaN,NaN,NaN,4.511115,13.228616,18.839998,4.301572,40.803551,6.377887,11.070687,2.3,22.68,11.619114,30.279306,9.47,NaN,13.248979,8.510774,NaN,11.591266,20.490763,30.435026,5.232002,NaN,12.889243,14.191292,NaN,NaN,25.764109,22.291706,12.48,NaN,NaN,10.558459,18.220091,NaN,20.310541,1.479772,NaN,0.1607,14.211465,9.906495,50.663872,6.820804,15.372722,NaN,8.848845,21.615868,12.543445,NaN
2009-12-01,6.9,36.762459,1.32,NaN,17.213675,4.877583,51.181255,11.696927,7.417513,10.640226,12.678202,2.720403,11.540497,12.821564,2.776554,7.48,6.458875,5.410758,2.398749,12.387797,71.029999,4.260172,NaN,7.554996,17.833179,26.01181,11.739813,6.68257,8.252055,8.046844,36.484245,32.994236,NaN,21.003696,1.21,4.623438,7.460917,9.051434,7.184994,28.670561,3.117684,28.480349,0.37596,8.13,9.393927,NaN,5.480498,NaN,NaN,11.462701,14.658635,10.79215,9.96,42.982159,1.949261,31.100698,22.776741,50.73106,22.499844,11.713322,5.818358,4.223232,31.517056,48.667805,14.577239,9.400465,20.726648,17.046499,10.719345,17.879999,24.679039,3.022155,NaN,NaN,6.32,14.706702,NaN,17.700001,NaN,NaN,6.50631,14.286683,16.756866,11.531729,16.074869,3.387512,14.533282,9.640541,NaN,8.758951,329.873871,14.370543,24.99181,4.07,7.669109,NaN,19.925825,12.885517,2.1,37.088806,7.95,NaN,14.24,11.381674,NaN,10.021989,6.0,NaN,8.01,17.507088,NaN,NaN,12.699414,16.790442,9.153858,22.323082,24.769201,28.724489,4.69,25.225777,15.357785,35.982693,3.218625,6.172502,2.489701,NaN,18.642569,NaN,6.264824,4.073062,NaN,NaN,NaN,21.543278,26.965767,12.598608,12.639863,0.886582,4.144657,6.3,35.632889,NaN,13.708333,10.254375,10.042836,16.835907,7.872859,9.596835,5.843955,10.824373,16.670458,16.787796,NaN,6.37,3.8,6.870593,2.046927,NaN,12.24474,12.094623,11.953043,NaN,1.6589,22.88559,NaN,10.159913,9.164956,22.013626,8.2233,7.037962,8.733949,7.653427,13.760468,19.152618,10.237756,8.59545,NaN,NaN,19.619989,NaN,6.012149,NaN,19.679531,23.240595,12.086992,NaN,7.775295,39.064293,11.970071,24.875996,NaN,NaN,NaN,5.105987,14.101943,19.78854,4.291883,45.001068,7.274474,11.763206,2.8,23.0,13.204528,29.80669,11.18,NaN,14.275434,8.91079,NaN,12.762193,20.336597,30.710264,6.369393,NaN,14.01926,16.85454,NaN,NaN,26.385643,23.637171,15.51,NaN,NaN,11.447905,19.405718,NaN,22.901936,1.479772,NaN,0.1607,14.888202,10.401819,54.905682,7.75528,14.393795,NaN,9.222921,24.277861,10.759212,NaN
2010-01-01,6.8,32.914204,1.33,NaN,16.957331,4.702187,48.600616,10.616637,8.685766,10.428052,12.920636,2.747272,10.48346,12.794576,3.023156,7.29,6.481196,5.560079,2.607995,11.413334,67.470001,4.47318,NaN,7.56372,17.136524,26.362972,11.951402,6.48904,7.946423,7.980477,33.969223,30.350561,NaN,21.698364,1.25,4.299438,7.282202,9.220923,6.434075,32.569763,2.847004,24.300501,0.478533,7.3,9.420023,NaN,5.797359,NaN,NaN,11.626454,14.586011,10.140326,10.44,40.818604,1.953606,28.017174,21.365932,45.289391,21.69174,11.877684,6.128687,4.597604,32.589066,45.265301,14.413977,9.381194,19.470903,16.054052,12.790322,14.03,23.147026,2.738195,NaN,NaN,6.32,27.133453,NaN,17.6,NaN,NaN,6.781012,12.160916,15.460167,11.575245,15.341039,3.13148,13.82612,9.70764,NaN,8.956993,291.90625,13.885317,24.158718,3.34,7.833218,NaN,19.244951,13.403102,2.32,32.516922,7.58,NaN,14.09,10.154927,NaN,NaN,5.23,NaN,6.39,17.079126,NaN,NaN,11.314363,15.68713,10.009886,19.740486,24.66151,29.456968,4.42,25.111692,13.155823,34.101845,3.228818,6.474041,2.940855,NaN,16.659931,NaN,6.290787,3.968625,NaN,NaN,NaN,22.491268,24.188627,13.417774,12.304131,0.844364,4.038631,5.94,32.579842,NaN,13.857261,9.831655,11.091245,16.24572,7.686519,9.560129,5.759192,10.673373,19.551706,16.07066,NaN,5.6,4.29,7.032756,1.658577,NaN,12.323234,12.692405,11.488047,NaN,1.668433,23.952286,NaN,11.476682,9.040499,19.826313,8.272662,7.663559,8.095178,6.942565,14.275315,18.603243,10.213476,8.596211,NaN,NaN,19.253279,NaN,6.332414,NaN,18.67437,23.716923,11.693076,NaN,7.586724,36.210663,11.219171,23.952154,NaN,NaN,NaN,5.050465,12.991602,20.429623,4.398455,40.816864,6.735802,12.017152,2.65,18.57,11.692956,27.043097,11.8,NaN,13.533695,8.614226,NaN,12.587931,19.423985,29.200603,6.238052,NaN,13.815699,26.213943,NaN,NaN,27.7535,22.557468,14.98,NaN,NaN,10.948108,19.459623,NaN,22.888367,1.479772,NaN,0.1607,14.798061,10.913936,56.855087,7.335525,13.369553,NaN,9.281301,22.182037,9.664198,NaN
