Date,ADV.DE,AFX.DE,AIXA.DE,AM3D.DE,BC8.DE,COK.DE,COP.DE,DLG.DE,DRI.DE,DRW3.DE,EVT.DE,FNTN.DE,GFT.DE,JEN.DE,MOR.DE,NDX1.DE,NEM.DE,O1BC.DE,O2D.DE,PFV.DE,QIA.DE,RIB.DE,S92.DE,SBS.DE,SMHN.DE,SOW.DE,SRT3.DE,UTDI.DE,WAF.DE,WDI.DE
2009-03-31,1.25,7.635179,5.5226,NaN,3.617306,0.719558,3.497142,1.33,0.808342,17.05316,0.67,2.727421,1.579254,3.087726,13.84,13.07,1.140851,26.593872,NaN,34.964661,12.465596,NaN,40.005074,12.762634,1.8,12.085396,0.936331,7.104532,NaN,5.934076
2009-04-30,1.34,7.737665,7.878659,NaN,4.125443,0.772301,3.462856,1.81,1.151275,18.364941,0.74,3.50347,1.705892,2.998743,13.66,12.28,1.278629,29.697525,NaN,35.915466,12.495533,NaN,48.034763,14.12342,2.07,12.757118,1.635076,8.106685,NaN,6.047105
2009-05-31,1.16,8.707746,8.354564,NaN,4.255654,0.753464,5.151427,2.5,1.285999,16.496401,0.99,4.020836,1.534558,2.660606,16.35,11.18,1.290218,26.354445,NaN,38.529026,13.153208,NaN,44.509121,15.56629,2.93,13.839731,1.591696,7.462443,NaN,6.546322
2009-06-30,1.56,8.585837,10.96775,NaN,4.820558,0.776068,5.828569,3.95,1.928998,18.675522,1.32,4.864368,1.608335,3.06993,16.32,11.33,1.664922,25.272602,NaN,38.470013,13.342527,NaN,48.15889,16.178253,2.92,14.413555,1.451547,8.008256,NaN,7.199404
2009-07-31,2.13,8.34202,13.056389,NaN,6.588799,0.802439,6.102856,3.97,2.265807,19.389526,1.58,5.252393,1.717639,3.007641,15.65,12.77,1.800124,24.385845,NaN,38.470013,14.279239,NaN,44.365227,15.773149,3.31,14.666162,1.57668,8.822504,NaN,6.980084
2009-08-31,2.18,9.674305,17.758217,NaN,6.062536,1.024711,6.617141,4.6,2.474016,24.294868,1.67,5.246769,2.108011,3.247897,17.1,11.92,1.783385,31.923288,NaN,41.383846,14.4486,NaN,60.132099,18.333057,3.56,15.92352,2.035502,9.225155,NaN,7.762006
2009-09-30,2.38,8.820946,19.427221,NaN,5.704678,1.216844,7.182855,5.93,2.645483,22.672121,2.03,5.044322,1.834751,3.292388,17.809999,11.09,1.94434,31.169544,NaN,37.710201,14.050002,NaN,55.952202,18.729538,3.19,16.626408,2.485983,7.927727,NaN,8.439036
2009-10-31,2.56,9.43049,22.860603,NaN,5.652052,1.137731,6.685712,6.32,3.288482,25.852705,2.15,5.398606,1.889403,3.327982,17.84,10.59,2.248224,29.174337,NaN,39.561783,14.67774,NaN,76.010529,21.323915,3.59,19.618908,2.816334,8.044048,NaN,8.067144
2009-11-30,2.53,10.849851,22.412357,NaN,6.592306,1.469255,6.385712,7.62,3.092521,27.716549,2.13,5.280511,1.905018,3.372473,17.040001,10.48,2.078255,27.312145,NaN,43.154278,15.564651,NaN,80.035942,22.909853,4.45,20.975183,2.652827,8.249847,NaN,9.201887
2009-12-31,2.499,10.309973,20.838724,NaN,6.595815,1.781942,6.857141,10.155,2.869002,35.515018,1.9,5.173102,2.061167,4.002477,16.879999,9.764,2.05379,25.250431,NaN,43.810814,15.734012,NaN,72.955009,21.841074,3.79,22.669064,2.82134,9.533852,NaN,8.869093
